Timestamp,Sleep stage
1737389022,Light
1737389052,Light
1737389082,REM
1737389112,REM
1737389142,REM
1737389172,REM
1737389202,REM
1737389232,REM
1737389262,REM
1737389292,REM
1737389322,REM
1737389352,REM
1737389382,REM
1737389412,REM
1737389442,REM
1737389472,REM
1737389502,REM
1737389532,REM
1737389562,REM
1737389592,REM
1737389622,REM
1737389652,REM
1737389682,REM
1737389712,REM
1737389742,REM
1737389772,REM
1737389802,REM
1737389832,REM
1737389862,REM
1737389892,REM
1737389922,REM
1737389952,REM
1737389982,REM
1737390012,REM
1737390042,REM
1737390072,REM
1737390102,REM
1737390132,REM
1737390162,REM
1737390192,REM
1737390222,REM
1737390252,REM
1737390282,REM
1737390312,REM
1737390342,REM
1737390372,REM
1737390402,REM
1737390432,REM
1737390462,REM
1737390492,REM
1737390522,REM
1737390552,REM
1737390599,Wake
