night,target_fpr,threshold_value,actual_fpr,tpr_recall,precision,specificity,accuracy,f1_score,true_positives,false_positives,true_negatives,false_negatives,total_rem_epochs,total_non_rem_epochs,predicted_rem_epochs
1,BEST_AUC,0.12412441787321161,0.22733612273361228,0.7586206896551724,0.11891891891891893,0.7726638772663877,0.7721179624664879,0.205607476635514,22,163,554,7,29,717,185
2,BEST_AUC,0.12412441787321161,0.2376237623762376,0.5288461538461539,0.36423841059602646,0.7623762376237624,0.7145669291338582,0.4313725490196078,55,96,308,49,104,404,151
3,BEST_AUC,0.12412441787321161,0.2693298969072165,0.9259259259259259,0.10683760683760683,0.7306701030927835,0.7372353673723536,0.19157088122605365,25,209,567,2,27,776,234
4,BEST_AUC,0.12412441787321161,0.2506265664160401,0.7,0.09502262443438914,0.7493734335839599,0.7475845410628019,0.16733067729083662,21,200,598,9,30,798,221
5,BEST_AUC,0.12412441787321161,0.24647887323943662,0.40217391304347827,0.20903954802259886,0.7535211267605634,0.7045454545454546,0.275092936802974,37,140,428,55,92,568,177
6,BEST_AUC,0.12412441787321161,0.26292134831460673,0.5555555555555556,0.20408163265306123,0.7370786516853932,0.717434869739479,0.2985074626865672,30,117,328,24,54,445,147
7,BEST_AUC,0.12412441787321161,0.1482084690553746,0.9117647058823529,0.5767441860465117,0.8517915309446255,0.8626666666666667,0.7065527065527067,124,91,523,12,136,614,215
8,BEST_AUC,0.12412441787321161,0.34477124183006536,0.35398230088495575,0.1593625498007968,0.6552287581699346,0.6082758620689656,0.2197802197802198,40,211,401,73,113,612,251
9,BEST_AUC,0.12412441787321161,0.1542111506524318,0.9458128078817734,0.5962732919254659,0.8457888493475683,0.8652007648183556,0.7314285714285714,192,130,713,11,203,843,322
10,BEST_AUC,0.12412441787321161,0.2348993288590604,0.8926829268292683,0.46564885496183206,0.7651006711409396,0.7888989990900819,0.6120401337792641,183,210,684,22,205,894,393
11,BEST_AUC,0.12412441787321161,0.2558139534883721,0.9534883720930233,0.3178294573643411,0.7441860465116279,0.7674418604651163,0.4767441860465116,82,176,512,4,86,688,258
12,BEST_AUC,0.12412441787321161,0.2213855421686747,0.6758620689655173,0.4,0.7786144578313253,0.7601977750309024,0.5025641025641027,98,147,517,47,145,664,245
13,BEST_AUC,0.12412441787321161,0.3282828282828283,0.5514018691588785,0.18495297805642633,0.6717171717171717,0.657397107897664,0.27699530516431925,59,260,532,48,107,792,319
14,BEST_AUC,0.12412441787321161,0.26004464285714285,0.0,0.0,0.7399553571428571,0.7366666666666667,0.0,0,233,663,4,4,896,233
15,BEST_AUC,0.12412441787321161,0.23012048192771084,0.940677966101695,0.3675496688741722,0.7698795180722892,0.7911392405063291,0.5285714285714287,111,191,639,7,118,830,302
16,BEST_AUC,0.12412441787321161,0.2658092175777063,0.9847328244274809,0.3421750663129973,0.7341907824222936,0.7650375939849624,0.5078740157480315,129,248,685,2,131,933,377
17,BEST_AUC,0.12412441787321161,0.08538587848932677,0.8270676691729323,0.6790123456790124,0.9146141215106732,0.898921832884097,0.7457627118644068,110,52,557,23,133,609,162
18,BEST_AUC,0.12412441787321161,0.21456692913385828,0.7421875,0.46568627450980393,0.7854330708661418,0.7767295597484277,0.572289156626506,95,109,399,33,128,508,204
19,BEST_AUC,0.12412441787321161,0.15353260869565216,0.9163179916317992,0.6596385542168675,0.8464673913043478,0.8635897435897436,0.7670753064798599,219,113,623,20,239,736,332
20,BEST_AUC,0.12412441787321161,0.14202898550724638,0.926829268292683,0.6597222222222222,0.8579710144927536,0.8737430167597765,0.77079107505071,190,98,592,15,205,690,288
