Epoch,Time_Hours,Ground_Truth,YASA_Raw,YASA_Mapped,Correct,YASA_Confidence
268,2.2333333333333334,Light,N2,Light,1,0.7929475665530609
269,2.2416666666666667,Light,N2,Light,1,0.8044241303094734
270,2.25,Light,N2,Light,1,0.7891681081310481
271,2.2583333333333333,Light,N2,Light,1,0.7615026379177845
272,2.2666666666666666,Light,N2,Light,1,0.9034954719001641
273,2.275,Light,N2,Light,1,0.7343217259678648
274,2.283333333333333,Light,N2,Light,1,0.4368598641433809
275,2.2916666666666665,Light,W,Wake,0,0.3336572778484101
276,2.3,Light,R,REM,0,0.38752857352220466
277,2.308333333333333,Light,R,REM,0,0.49185984854329856
278,2.316666666666667,Light,R,REM,0,0.33077937359413556
279,2.325,Light,N2,Light,1,0.33383624791639993
280,2.3333333333333335,Light,R,REM,0,0.4694834245643515
281,2.341666666666667,Light,R,REM,0,0.6448313380259434
282,2.35,Light,R,REM,0,0.42719681420310374
283,2.3583333333333334,Light,R,REM,0,0.6492473848254422
284,2.3666666666666667,Light,R,REM,0,0.5474719017168982
285,2.375,Light,R,REM,0,0.6635350021279117
286,2.3833333333333333,Light,R,REM,0,0.5677648380505212
287,2.3916666666666666,Light,W,Wake,0,0.3303380141661687
288,2.4,Light,W,Wake,0,0.4130427296047353
289,2.408333333333333,Light,W,Wake,0,0.3076727719670793
290,2.4166666666666665,Light,W,Wake,0,0.3467274167896168
291,2.425,Light,W,Wake,0,0.3809987302896042
292,2.433333333333333,Light,N1,Light,1,0.2616589240749652
293,2.441666666666667,Light,W,Wake,0,0.44340996072930866
294,2.45,Deep,R,REM,0,0.4255338762547371
295,2.4583333333333335,Deep,R,REM,0,0.4342925620141715
296,2.466666666666667,Deep,N1,Light,0,0.36636329225622555
297,2.475,Deep,N1,Light,0,0.3504625007900499
298,2.4833333333333334,Deep,R,REM,0,0.3484903723549213
299,2.4916666666666667,Deep,R,REM,0,0.26907770009879783
300,2.5,Deep,R,REM,0,0.2946967157420753
301,2.5083333333333333,Deep,N1,Light,0,0.4309631859956491
302,2.5166666666666666,Deep,N2,Light,0,0.42933557585962245
303,2.525,Deep,N1,Light,0,0.41007288288614224
304,2.533333333333333,Light,N2,Light,1,0.5752081459074553
305,2.5416666666666665,Light,N1,Light,1,0.39088868603324456
306,2.55,Light,N2,Light,1,0.38246840424172607
307,2.558333333333333,Light,N2,Light,1,0.6589516463917754
308,2.566666666666667,Light,N2,Light,1,0.37651474064842805
309,2.575,Light,N2,Light,1,0.301224862037524
310,2.5833333333333335,REM,N2,Light,0,0.34162195748224006
311,2.591666666666667,REM,N1,Light,0,0.3315980240591284
312,2.6,REM,N1,Light,0,0.47134626582639333
313,2.6083333333333334,REM,N2,Light,0,0.3160436795736148
314,2.6166666666666667,REM,W,Wake,0,0.2871006124983094
315,2.625,REM,R,REM,1,0.2803322273455773
316,2.6333333333333333,REM,N1,Light,0,0.35170935187329627
317,2.6416666666666666,REM,W,Wake,0,0.4603151048704355
318,2.65,REM,N1,Light,0,0.3603767147970883
319,2.658333333333333,REM,N1,Light,0,0.32794241308410893
320,2.6666666666666665,REM,N1,Light,0,0.3719401064345083
321,2.675,REM,N1,Light,0,0.3041793859683047
322,2.683333333333333,REM,R,REM,1,0.321362297305479
323,2.691666666666667,REM,W,Wake,0,0.6129260244769145
324,2.7,Light,W,Wake,0,0.6297446129304202
325,2.7083333333333335,Light,N1,Light,1,0.38470813710910723
326,2.716666666666667,Light,N1,Light,1,0.4872529034646946
327,2.725,Light,N2,Light,1,0.4335947914065751
328,2.7333333333333334,Light,N2,Light,1,0.6879427019880882
329,2.7416666666666667,Light,N2,Light,1,0.3575082072150703
330,2.75,Light,R,REM,0,0.44060575789540085
331,2.7583333333333333,Light,R,REM,0,0.30176265712810857
332,2.7666666666666666,Light,W,Wake,0,0.4118334195358632
333,2.775,Light,W,Wake,0,0.4062258450462171
334,2.783333333333333,Light,W,Wake,0,0.47280979608278556
335,2.7916666666666665,Light,W,Wake,0,0.4160298911538629
